filename,altocumulus,altostratus,cirrocumulus,cirrostratus,cirrus,cumulonimbus,cumulus,nimbostratus,stratocumulus,stratus
Cb-N203_jpg.rf.eedff9fa0d468da939b1e626325c4174.jpg,0,0,0,0,0,1,0,0,0,0
Sc-89-_jpg.rf.eedbfdfee150f3dc414e6731e77b7df8.jpg,0,0,0,0,0,0,0,0,1,0
Ns-N036_jpg.rf.ee277122a996efb89fd3a247bd914422.jpg,0,0,0,0,0,0,0,1,0,0
Ci-N022_jpg.rf.f14a1141448b1a0ff8b22f3babb36772.jpg,0,0,0,0,1,0,0,0,0,0
Ci-N009_jpg.rf.f0e6d8c370e4c9d81b20438a49da165b.jpg,0,0,0,0,1,0,0,0,0,0
Cc-N053_jpg.rf.efc7eb55524c3cb1fd3b6fa0b1cfe10e.jpg,0,0,1,0,0,0,0,0,0,0
Cc-N160_jpg.rf.f09bac2491ec8b26d4d3832f85e205f2.jpg,0,0,1,0,0,0,0,0,0,0
Cc-26-_jpg.rf.f00de1da13d76511a0542fd436dd759c.jpg,0,0,1,0,0,0,0,0,0,0
d7e1557b-0dab-4450-8aa7-8b1f25c2808d_jpg.rf.f14e65798cd25b1a83588af49bc01f5c.jpg,0,0,0,0,0,0,0,0,0,1
Cb-N110_jpg.rf.f03ceee5006556df6c85146bddecec06.jpg,0,0,0,0,0,1,0,0,0,0
Sc-5-_jpg.rf.f139fcbffa8d82187b209583c7d1a6d6.jpg,0,0,0,0,0,0,0,0,1,0
Cu-N040_jpg.rf.ef56752bb74930794c9ad30f31a0b123.jpg,0,0,0,0,0,0,1,0,0,0
Cc-N166_jpg.rf.f1d165f50a831869ee359b02709f81f7.jpg,0,0,1,0,0,0,0,0,0,0
Cs-N048_jpg.rf.f0ee75d6db774115edbe8f5d6ce25357.jpg,0,0,0,1,0,0,0,0,0,0
As-31-_jpg.rf.f166797c518e85f3b9e1a6c689cc6c4c.jpg,0,1,0,0,0,0,0,0,0,0
Sc-N205_jpg.rf.f081cd71e4921d888e012a77dbdd5499.jpg,0,0,0,0,0,0,0,0,1,0
Cs-20-_jpg.rf.f14e48ba3e88a4a86235bd6bd03b45f8.jpg,0,0,0,1,0,0,0,0,0,0
